Unnamed: 0,category,concept_eng,concept,n_concept,n_concept_list,list,exemplar,count,avg_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,outliers,classif,n_exemplars,llama3.1,llama3.2,mistral,llava,idefics2,nemo,llama3.1-70b,mixtral
17,ANIMALS,dog,CANE,23,13,6,CANE_labrador,19,4.578947368421052,0.59375,1,13,0.15625,0.4065693589775465,0.3531646871011183,False,many_exemplars,31,6.3509907722473145,6.276226997375488,8.285237312316895,6.82831335067749,5.101452827453613,8.016812324523926,6.048707008361816,9.286330223083496
24,ANIMALS,dog,CANE,23,13,6,CANE_pastore tedesco,16,5.3125,0.5,1,16,0.0625,0.3088988789084606,0.3088988789084606,False,many_exemplars,31,6.29189920425415,6.5371599197387695,8.12015151977539,6.785760402679443,5.297752380371094,7.4934539794921875,5.993533611297607,8.55105972290039
2,ANIMALS,dog,CANE,23,13,6,CANE_bassotto,15,6.266666666666667,0.46875,1,15,0.125,0.2474929836798518,0.2474929836798518,False,many_exemplars,31,6.146124362945557,6.400043487548828,8.698683738708496,7.18232536315918,5.526397705078125,8.29458999633789,5.850237846374512,9.844358444213867
7,ANIMALS,dog,CANE,23,13,6,CANE_chihuahua,19,8.210526315789474,0.59375,2,16,0.0,0.2692859961839361,0.2363875892009653,False,many_exemplars,31,5.952845573425293,6.0732927322387695,7.276520729064941,6.178752899169922,4.234528541564941,7.237739086151123,5.70353889465332,8.349626541137695
14,ANIMALS,dog,CANE,23,13,6,CANE_golden retriever,15,6.666666666666667,0.46875,1,14,0.03125,0.2204943469336876,0.2108117962460217,False,many_exemplars,31,5.984911918640137,6.052286148071289,7.301029682159424,6.397013187408447,4.40740442276001,7.901253223419189,5.740789413452148,7.938997745513916
4,ANIMALS,dog,CANE,23,13,6,CANE_bulldog,11,7.909090909090909,0.34375,1,22,0.03125,0.1275920648865639,0.1908237205948926,False,many_exemplars,31,5.923830032348633,6.08878755569458,8.305793762207031,6.904209136962891,4.788286685943604,7.385658740997314,5.634566307067871,8.476848602294922
13,ANIMALS,dog,CANE,23,13,6,CANE_dobermann,11,5.090909090909091,0.34375,1,11,0.125,0.1887100252460539,0.1887100252460539,False,many_exemplars,31,6.299845218658447,6.486752033233643,8.528372764587402,7.26929759979248,5.280361175537109,8.229724884033203,6.035816192626953,10.261391639709473
15,ANIMALS,dog,CANE,23,13,6,CANE_husky,13,7.384615384615385,0.40625,1,15,0.03125,0.1655104635749545,0.1818559492072669,False,many_exemplars,31,6.188143253326416,6.274653434753418,8.567174911499023,7.083033561706543,5.285576343536377,7.789581298828125,5.89987850189209,9.217639923095703
5,ANIMALS,dog,CANE,23,13,6,CANE_carlino,9,7.444444444444445,0.28125,1,19,0.03125,0.1107659788588244,0.1574892816750565,False,many_exemplars,31,6.571374416351318,6.672422885894775,9.709516525268556,7.590840339660644,5.969858169555664,9.29689884185791,6.440392971038818,11.373135566711426
1,ANIMALS,dog,CANE,23,13,6,CANE_barboncino,11,6.909090909090909,0.34375,2,14,0.0,0.1220493357629337,0.1482289105257132,False,many_exemplars,31,6.13393497467041,6.296425342559815,8.467432975769043,6.86212158203125,5.579309463500977,7.391436100006103,6.035145282745361,8.754749298095703
26,ANIMALS,dog,CANE,23,13,6,CANE_pitbull,12,7.916666666666667,0.375,3,15,0.0,0.1110412039645276,0.1395016600919989,False,many_exemplars,31,6.100732803344727,6.2562689781188965,7.650954246520996,6.518338203430176,4.403185844421387,8.219165802001953,5.868597030639648,7.855253219604492
23,ANIMALS,dog,CANE,23,13,6,CANE_pastore maremmano,8,7.375,0.25,2,17,0.0,0.0632181446473947,0.1196119762136552,False,many_exemplars,31,6.012341499328613,6.213187217712402,7.512137413024902,6.001387596130371,4.604015350341797,7.816737174987793,5.894087314605713,8.744489669799805
27,ANIMALS,dog,CANE,23,13,6,CANE_rottweiler,7,9.142857142857142,0.21875,1,21,0.03125,0.0456269772399027,0.1047357192545323,False,many_exemplars,31,6.000805377960205,6.096344470977783,7.857775211334228,6.394052505493164,4.558606624603272,8.188178062438965,5.740148067474365,9.274003028869627
9,ANIMALS,dog,CANE,23,13,6,CANE_da caccia,5,6.2,0.15625,2,19,0.0,0.0545175855848256,0.1021338826681019,False,many_exemplars,31,6.268951416015625,6.419452667236328,8.622445106506348,6.85321569442749,5.414271831512451,9.359841346740724,6.032550811767578,9.90371799468994
25,ANIMALS,dog,CANE,23,13,6,CANE_pinscher,7,9.428571428571429,0.21875,2,22,0.0,0.0314787622620241,0.1012213961829058,False,many_exemplars,31,6.096377849578857,6.181019306182861,8.137337684631348,6.826633453369141,5.137596607208252,8.07875919342041,5.934587478637695,9.110648155212402
22,ANIMALS,dog,CANE,23,13,6,CANE_meticcio,6,6.166666666666667,0.1875,1,12,0.03125,0.0509564144649455,0.0827906167620496,False,many_exemplars,31,6.542885780334473,6.628064155578613,8.964964866638184,7.310622692108154,5.5406365394592285,8.94955062866211,6.316607475280762,10.43205451965332
3,ANIMALS,dog,CANE,23,13,6,CANE_beagle,6,8.833333333333334,0.1875,1,17,0.03125,0.0388335653866469,0.079296334794643,False,many_exemplars,31,6.320642948150635,6.420126438140869,8.553143501281738,7.157705783843994,5.164935111999512,8.89849853515625,5.94009256362915,9.169477462768556
12,ANIMALS,dog,CANE,23,13,6,CANE_di taglia piccola,5,8.6,0.15625,2,19,0.0,0.0287390640909427,0.0791689666202821,False,many_exemplars,31,6.5067877769470215,6.516496658325195,9.201493263244627,7.399515151977539,5.816473007202148,8.380841255187988,6.340385437011719,10.356804847717283
0,ANIMALS,dog,CANE,23,13,6,CANE_alano,7,10.42857142857143,0.21875,6,20,0.0,0.0137962554489417,0.0791355551186331,False,many_exemplars,31,6.339381217956543,6.728476047515869,9.627557754516602,7.399587154388428,5.81465482711792,9.598016738891602,6.297008991241455,10.751408576965332
29,ANIMALS,dog,CANE,23,13,6,CANE_volpino,4,7.0,0.125,2,18,0.0,0.0227172637565306,0.07245973333982,False,many_exemplars,31,6.181569576263428,6.235064029693604,8.27131462097168,6.811931610107422,5.07160234451294,8.20821475982666,6.012759685516357,10.174948692321776
28,ANIMALS,dog,CANE,23,13,6,CANE_san bernardo,6,10.66666666666667,0.1875,5,20,0.0,0.0082465505764762,0.0669347644056274,False,many_exemplars,31,6.445077896118164,6.399031639099121,8.606513023376465,7.166277885437012,5.532222270965576,9.206684112548828,5.943715572357178,9.78713035583496
8,ANIMALS,dog,CANE,23,13,6,CANE_corgi,5,8.4,0.15625,2,16,0.0,0.0194545414152624,0.0622424119423289,False,many_exemplars,31,6.105601787567139,6.199410438537598,7.918616771697998,6.803137302398682,4.816258907318115,7.928004741668701,5.851617813110352,8.161812782287598
6,ANIMALS,dog,CANE,23,13,6,CANE_cavalier king,4,10.5,0.125,3,20,0.0,0.0134887740222418,0.0572786042318549,False,many_exemplars,31,6.296325206756592,6.447447776794434,8.37049388885498,6.825228214263916,5.280582904815674,8.118294715881348,5.989068031311035,9.830551147460938
30,ANIMALS,dog,CANE,23,13,6,CANE_yorkshire,4,6.0,0.125,2,11,0.0,0.0214222484543003,0.0539363658065065,False,many_exemplars,31,6.420285701751709,6.605319023132324,8.81319522857666,7.368636608123779,5.779723167419434,9.5805082321167,6.226180553436279,9.881632804870604
20,ANIMALS,dog,CANE,23,13,6,CANE_maremmano,4,7.0,0.125,2,13,0.0,0.0161220587797339,0.0516190469789264,False,many_exemplars,31,6.115714073181152,6.64156436920166,7.437216281890869,6.144094467163086,4.638695240020752,8.34725284576416,6.018013000488281,9.0745267868042
11,ANIMALS,dog,CANE,23,13,6,CANE_di taglia grande,4,6.75,0.125,3,13,0.0,0.0088790513669501,0.0509354719735585,False,many_exemplars,31,6.713533878326416,6.688924312591553,9.474313735961914,7.657240867614746,5.97359037399292,9.072705268859863,6.571045875549316,11.04279613494873
10,ANIMALS,dog,CANE,23,13,6,CANE_dalmata,5,8.6,0.15625,5,14,0.0,0.0069415930675959,0.0483160255508685,False,many_exemplars,31,6.300038814544678,6.483251094818115,8.198042869567871,6.880094051361084,5.151612758636475,8.297157287597656,5.934183120727539,9.598730087280272
16,ANIMALS,dog,CANE,23,13,6,CANE_jack russell,5,12.8,0.15625,6,21,0.0,0.0020451508597895,0.0472812473314582,False,many_exemplars,31,6.46894645690918,6.552664756774902,8.773698806762695,7.43574333190918,5.575337886810303,9.359858512878418,6.065101623535156,9.715964317321776
