participant,category,concept,concept_eng,exemplar,rank,abs_freq
iter1,PLANTS,abete,fir,abete bianco,1,224.0
iter1,PLANTS,abete,fir,abete rosso,2,15104.0
iter1,PLANTS,abete,fir,abete nero,3,104.0
iter1,PLANTS,abete,fir,abete gigante,4,102.0
iter1,PLANTS,abete,fir,abete rosso del nord,5,48.0
iter1,PLANTS,abete,fir,abete bianco americano,6,12.0
iter1,PLANTS,abete,fir,abete bianco europeo,7,3.0
iter1,PLANTS,abete,fir,abete bianco siberiano,8,1.0
iter1,PLANTS,abete,fir,abete rosso del caucaso,9,1.0
iter1,PLANTS,abete,fir,abete rosso di norvegia,10,0.0
iter1,PLANTS,abete,fir,abete rosso di romania,11,0.0
iter1,PLANTS,abete,fir,abete rosso di siberia,12,0.0
iter1,PLANTS,abete,fir,abete rosso di colorado,13,0.0
iter1,PLANTS,abete,fir,abete rosso del pacifico,14,0.0
iter1,PLANTS,abete,fir,abete rosso del nord america,15,0.0
iter1,PLANTS,abete,fir,abete rosso del messico,16,0.0
iter1,PLANTS,abete,fir,abete rosso del sud america,17,0.0
iter1,PLANTS,abete,fir,,18,0.0
iter1,VEHICLES,aereo,plane,aereo commerciale,1,43.0
iter1,VEHICLES,aereo,plane,aereo militare,2,182.0
iter1,VEHICLES,aereo,plane,aereo da addestramento,3,74.0
iter1,VEHICLES,aereo,plane,aereo da ricognizione,4,2070.0
iter1,VEHICLES,aereo,plane,aereo da sorveglianza,5,25.0
iter1,VEHICLES,aereo,plane,aereo da cargo,6,16.0
iter1,VEHICLES,aereo,plane,aereo da turismo,7,44.0
iter1,VEHICLES,aereo,plane,aereo da alta quota,8,22.0
iter1,VEHICLES,aereo,plane,aereo da ala fissa,9,1.0
iter1,VEHICLES,aereo,plane,aereo da ala variabile,10,0.0
iter1,VEHICLES,aereo,plane,aereo da elica,11,0.0
iter1,VEHICLES,aereo,plane,aereo da rotori,12,0.0
iter1,VEHICLES,aereo,plane,aereo sperimentale,13,580.0
iter1,STATIONERY,agenda,diary,calendario digitale,1,140.0
iter1,STATIONERY,agenda,diary,calendario da tasca,2,10.0
iter1,STATIONERY,agenda,diary,calendario da tavolo,3,74.0
iter1,STATIONERY,agenda,diary,calendario tradizionale,4,155.0
iter1,STATIONERY,agenda,diary,calendario eletronico,5,0.0
iter1,STATIONERY,agenda,diary,calendario personale,6,83.0
iter1,STATIONERY,agenda,diary,calendario professionale,7,26.0
iter1,STATIONERY,agenda,diary,calendario di gruppo,8,25.0
iter1,STATIONERY,agenda,diary,calendario di eventi,9,36.0
