participant,category,concept,concept_eng,exemplar,rank,abs_freq
iter1,PLANTS,abete,fir,pino,1,83720.0
iter1,PLANTS,abete,fir,pino nero,2,210.0
iter1,PLANTS,abete,fir,pino d'aleppo,3,0.0
iter1,PLANTS,abete,fir,pino silvestre,4,1018.0
iter1,PLANTS,abete,fir,pino laricio,5,767.0
iter1,PLANTS,abete,fir,pino mugo,6,1730.0
iter1,PLANTS,abete,fir,pino pigno,7,0.0
iter1,PLANTS,abete,fir,pino cipresso,8,20.0
iter1,PLANTS,abete,fir,pino bianco,9,408.0
iter1,PLANTS,abete,fir,pino rosso,10,131.0
iter1,PLANTS,abete,fir,pino d'italia,11,0.0
iter1,PLANTS,abete,fir,pino d'aquitania,12,0.0
iter1,PLANTS,abete,fir,pino d'armenia,13,0.0
iter1,PLANTS,abete,fir,pino d'austria,14,0.0
iter1,PLANTS,abete,fir,pino d'azerbaigian,15,0.0
iter1,PLANTS,abete,fir,pino d'aust,16,0.0
iter1,VEHICLES,aereo,plane,aereo,1,1924898.0
iter1,VEHICLES,aereo,plane,aereo con ali,2,21.0
iter1,VEHICLES,aereo,plane,aereo con ali a v,3,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a delta,4,4.0
iter1,VEHICLES,aereo,plane,aereo con ali a t,5,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a u,6,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a w,7,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a x,8,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a y,9,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a z,10,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a h,11,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a l,12,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a m,13,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a n,14,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a p,15,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a r,16,0.0
iter1,VEHICLES,aereo,plane,aereo con ali a s,17,0.0
iter1,VEHICLES,aereo,plane,aere,18,5384.0
iter1,STATIONERY,agenda,diary,calendario,1,30666.0
iter1,STATIONERY,agenda,diary,agenda digitale,2,1132.0
iter1,STATIONERY,agenda,diary,agenda di lavoro,3,46.0
iter1,STATIONERY,agenda,diary,agenda di viaggio,4,46.0
iter1,STATIONERY,agenda,diary,agenda di famiglia,5,12.0
iter1,STATIONERY,agenda,diary,agenda di eventi,6,44.0
iter1,STATIONERY,agenda,diary,agenda di appuntamenti,7,40.0
iter1,STATIONERY,agenda,diary,agenda di riunioni,8,8.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di lavoro,9,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di progetto,10,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di team,11,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di progetto di lavoro,12,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di progetto di team,13,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di progetto di lavoro di team,14,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di progetto di lavoro di team di progetto,15,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di pro,16,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,hangar,1,17069.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,pannello,2,17105.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,barra,3,21564.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,tavolo,4,35504.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,tavolo a sbarre,5,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,tavolo a sbarre con barra centrale,6,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,tavolo a sbarre con barra laterale,7,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,tavolo a sbarre con barra centrale e laterale,8,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,tavolo a sbarre con barra centrale e laterale con barra diagonale,9,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,tavolo a sbarre con barra centrale e laterale con barra diagonale e barra diagonale invertita,10,0.0
iter1,FURNITURE,armadio,closet,armadio,1,42558.0
iter1,FURNITURE,armadio,closet,armadio aperta,2,25.0
iter1,FURNITURE,armadio,closet,armadio chiuso,3,568.0
iter1,FURNITURE,armadio,closet,armadio con porta,4,35.0
iter1,FURNITURE,armadio,closet,armadio con porta aperta,5,0.0
iter1,FURNITURE,armadio,closet,armadio con porta chiusa,6,0.0
iter1,FURNITURE,armadio,closet,armadio con porta aperta e chiusa,7,0.0
iter1,FURNITURE,armadio,closet,armadio con porta a,8,14.0
iter1,STATIONERY,astuccio,case,astuccio a mano,1,0.0
iter1,STATIONERY,astuccio,case,astuccio elettrico,2,0.0
iter1,STATIONERY,astuccio,case,astuccio a vapore,3,0.0
iter1,STATIONERY,astuccio,case,astuccio a gas,4,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna,5,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna elettrico,6,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna e gas,7,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna,8,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna,9,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna,10,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna,11,0.0
iter1,STATIONERY,astuccio,case,astuccio a legna,12,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro,1,80.0
iter1,HOBBIES,attrezzo,tool,attrezzo da giardino,2,68.0
iter1,HOBBIES,attrezzo,tool,attrezzo da cucina,3,65.0
iter1,HOBBIES,attrezzo,tool,attrezzo da bagno,4,4.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro pesante,5,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro leggero,6,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro meccanico,7,2.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro elettrico,8,1.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro agricolo,9,12.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro sportivo,10,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro artigianale,11,4.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro di costruzione,12,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro di manutenzione,13,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro di pulizia,14,0.0
iter1,HOBBIES,attrezzo,tool,attrez,15,171.0
iter1,VEHICLES,autobus,bus,autobus,1,663876.0
iter1,VEHICLES,autobus,bus,bus,2,600430.0
iter1,VEHICLES,autobus,bus,minibus,3,23726.0
iter1,VEHICLES,autobus,bus,van,4,41840.0
iter1,VEHICLES,autobus,bus,car,5,49688.0
iter1,VEHICLES,autobus,bus,truck,6,26698.0
iter1,VEHICLES,autobus,bus,taxi,7,32854.0
iter1,VEHICLES,autobus,bus,shuttle,8,18399.0
iter1,VEHICLES,autobus,bus,camper,9,30022.0
iter1,VEHICLES,autobus,bus,rv,10,22767.0
iter1,VEHICLES,autobus,bus,ambulance,11,908.0
iter1,VEHICLES,autobus,bus,fire truck,12,26.0
iter1,VEHICLES,autobus,bus,school bus,13,21.0
iter1,VEHICLES,autobus,bus,tour bus,14,726.0
