category,concept,human,llama-3.1-70b,llama-3.1-70b-order_match,llama-3.1-70b-simple_match,llama-3.1-8b,llama-3.1-8b-order_match,llama-3.1-8b-simple_match,llama-3.2-3b,llama-3.2-3b-order_match,llama-3.2-3b-simple_match,mistral-7b,mistral-7b-order_match,mistral-7b-simple_match,mixtral-8x7b,mixtral-8x7b-order_match,mixtral-8x7b-simple_match,nemo-12b,nemo-12b-order_match,nemo-12b-simple_match,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-order_match,llava-v1.6-mistral-7b-simple_match,llava-v1.6-mistral-7b-img,llava-v1.6-mistral-7b-img-order_match,llava-v1.6-mistral-7b-img-simple_match,idefics2-8b,idefics2-8b-order_match,idefics2-8b-simple_match,idefics2-8b-img,idefics2-8b-img-order_match,idefics2-8b-img-simple_match
plants,abete,rosso,bianco,0,1,rosso,1,1,di legno,0,0,bianco,0,1,bianco,0,1,rosso,1,1,acacia,0,0,albero,0,1,abeto,0,0,rosso,1,1
plants,abete,bianco,rosso,0,1,bianco,1,1,sacco,0,0,nero,0,0,del colorado,0,0,bianco,1,1,faggio,0,0,pino,0,0,birch,0,0,pino,0,0
plants,abete,di natale,argentato,0,0,nero,0,0,da scrivania,0,0,silvestre,0,0,di douglas,0,0,albero diabeti,0,0,betulla,0,0,piuopolo,0,0,pinus,0,0,quercia,0,0
plants,abete,albero,amabile,0,0,siberiano,0,0,della cappadocia,0,0,bianco di siberia,0,0,rosso,0,1,argentato,0,0,pino,0,0,pioppo,0,0,acacia,0,0,acanto,0,0
vehicles,aereo,militare,da caccia,0,0,airbus,0,0,da passeggeri,0,0,commerciale,0,0,da caccia,0,0,jet,0,1,aeroplano,0,0,aereoplano,0,0,jet,0,1,elica,0,0
vehicles,aereo,di linea,da ricognizione,0,0,aeroplano,0,0,da trasporto,0,0,militare,0,1,da addestramento,0,0,a elica,0,0,aerea,0,0,elicottero,0,0,boeing 747,0,0,aeroporto di atterraggio,0,0
vehicles,aereo,jet,da trasporto,0,0,boeing,0,0,civile,0,0,elicottero,0,0,da combattimento,0,0,da guerra,0,0,nero,0,0,aereoplanes,0,0,aeromobile,0,0,missile,0,0
vehicles,aereo,passeggeri,aliante,0,0,da turismo,0,0,caccialeggeri,0,0,a reazione,0,0,da trasporto passeggeri,0,0,da trasporto,0,0,jet,0,1,elicotteri,0,0,uav,0,0,jet,0,1
vehicles,aereo,caccia,ultraleggero,0,0,aeromobile,0,0,da pattugliamento,0,0,da addestramento,0,0,boeing 747,0,0,aeroplano,0,0,aerostato,0,0,aeroplano,0,0,aeroplino,0,0,helicoptero,0,0
stationery,agenda,mensile,digitale,0,0,calendario,0,0,calendario,0,0,calendario digitale,0,0,digitale,0,0,cartacea,0,0,calendario,0,0,calendario,0,0,calendario,0,0,calendario,0,0
