category,concept,human,llama-3.1-70b,llama-3.1-70b-order_match,llama-3.1-70b-simple_match,llama-3.1-8b,llama-3.1-8b-order_match,llama-3.1-8b-simple_match,llama-3.2-3b,llama-3.2-3b-order_match,llama-3.2-3b-simple_match,mistral-7b,mistral-7b-order_match,mistral-7b-simple_match,mixtral-8x7b,mixtral-8x7b-order_match,mixtral-8x7b-simple_match,nemo-12b,nemo-12b-order_match,nemo-12b-simple_match,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-order_match,llava-v1.6-mistral-7b-simple_match,llava-v1.6-mistral-7b-img,llava-v1.6-mistral-7b-img-order_match,llava-v1.6-mistral-7b-img-simple_match,idefics2-8b,idefics2-8b-order_match,idefics2-8b-simple_match,idefics2-8b-img,idefics2-8b-img-order_match,idefics2-8b-img-simple_match
plants,abete,rosso,bianco,0,1,rosso,1,1,americano,0,0,bianco,0,1,bianco,0,1,bianco,0,1,albero,0,1,pino,0,0,rosso,1,1,rosso,1,1
plants,abete,bianco,amabile,0,0,di douglas,0,0,di faggio,0,0,rosso di norvegia,0,0,di douglas,0,0,rosso,0,1,acacia,0,0,faggio,0,0,bianco,1,1,rosso del nord,0,0
plants,abete,di natale,rosso,0,1,nero,0,0,di montagna,0,0,nero,0,0,rosso,0,1,di nordmann,0,0,palma,0,0,pine tree,0,0,acacia,0,0,nero,0,0
plants,abete,albero,balsamico,0,0,fuso,0,0,balsamina,0,0,rosso del nord,0,0,di nordmann,0,0,di douglas,0,0,ab,0,0,cedro,0,0,acerbo,0,0,rosso europeo,0,0
vehicles,aereo,militare,da caccia,0,0,da trasporto,0,0,da passeggeri,0,0,commerciale,0,0,da combattimento,0,0,a elica,0,0,aereoplano,0,0,aeroplano,0,0,aeroplano,0,0,elicottero,0,0
vehicles,aereo,di linea,da trasporto,0,0,da carico,0,0,passeggeri,0,1,jet,0,1,da turismo,0,0,da guerra,0,0,aeroplano,0,0,aereoplano,0,0,elicottero,0,0,aeroplano,0,0
vehicles,aereo,jet,da addestramento,0,0,da turismo,0,0,da trasporto,0,0,da ricognizione,0,0,da caccia,0,0,elicottero,0,0,elicottero,0,0,a scoppio,0,0,aerostato,0,0,dirigibile,0,0
vehicles,aereo,passeggeri,da turismo,0,0,da addestramento,0,0,da ricognizione,0,0,da turismo,0,0,da trasporto passeggeri,0,0,da ricognizione,0,0,aerostato,0,0,a vela,0,0,dirigibile,0,0,aerostato,0,0
vehicles,aereo,caccia,aliscafo,0,0,elicottero,0,0,da pattugliamento,0,0,elicottero,0,0,da collegamento,0,0,da caccia,0,0,drone,0,0,coda,0,0,aerostazione,0,0,elica,0,0
stationery,agenda,mensile,scolastica,0,0,calendario,0,0,calendario,0,0,calendario digitale,0,0,giornaliera,0,1,cartacea,0,0,calendario,0,0,calendario,0,0,calendario,0,0,calendario,0,0
stationery,agenda,settimanale,personale,0,0,cartacea,0,0,piano,0,0,calendario da tasca,0,0,digitale,0,0,professionale,0,0,di lavoro,0,0,planner,0,0,calendario digitale,0,0,diario,0,0
stationery,agenda,giornaliera,settimanale,0,1,digitale,0,0,elenco,0,0,calendario di appuntamenti,0,0,settimanale,0,1,scolastica,0,0,pendolari,0,0,quaderno,0,0,a4,0,0,planner,0,0
stationery,agenda,annuale,elettronica,0,0,rubrica,0,0,orario,0,0,calendario di eventi,0,0,elettronica,0,0,settimanale,0,1,giornaliera,0,1,diario,0,0,carta di agenda,0,0,agendina,0,0
stationery,agenda,tascabile,cartacea,0,0,diario,0,0,taccuino,0,0,calendario personale,0,0,mensile,0,1,personale,0,0,di eventi,0,0,notepad,0,0,diario,0,0,notebook,0,0
furnishings/fittings,appendiabiti,da parete,gruccia,0,0,da parete,1,1,armadio,0,0,appendice per cintura,0,0,gancio appendiabiti,0,0,a parete,0,0,scarpe,0,0,scarpe,0,0,jeans,0,0,borsa,0,0
furnishings/fittings,appendiabiti,da terra,portabiti,0,0,da muro,0,1,cassettone,0,0,cassetta per cinture,0,0,portaombrelli,0,0,a piantana,0,0,calze,0,0,manichetta,0,0,borsa,0,0,camisa,0,0
furnishings/fittings,appendiabiti,da muro,attaccapanni,0,0,a muro,0,0,cassettiera,0,0,vestitario,0,0,gancio da parete,0,0,portatile,0,0,pantaloni,0,0,hangar,0,0,scarpe,0,0,pantaloni,0,0
furnishings/fittings,appendiabiti,a rastrelliera,a scomparsa,0,0,a stendibiancheria,0,0,cassettone a muro,0,0,vestiti a fusione,0,0,gancio,0,0,da viaggio,0,0,guanti,0,0,maglietta,0,0,pantaloni,0,0,hanger,0,0
furniture,armadio,a muro,a muro,1,1,a muro,1,1,a muro,1,1,a porta rovescia,0,0,a due ante,0,1,a muro,1,1,armadietto,0,0,aperto,0,0,per vestiti,0,0,per vestiti,0,0
furniture,armadio,scorrevole,scorrevole,1,1,a tre ante,0,0,a vetro,0,0,a due porte,0,0,con ante scorrevoli,0,0,guardaroba,0,0,a due porte,0,0,armadietro,0,0,armario,0,0,scaffale,0,0
furniture,armadio,a due ante,a ponte,0,0,a due ante,1,1,da letto,0,0,a portelle,0,0,con cassetti,0,0,a cassetti,0,0,armario,0,0,vestiario,0,0,armaio,0,0,cassa,0,0
furniture,armadio,a battente,a giorno,0,0,a soppalco,0,0,a cassetti,0,0,armario per vestiti,0,0,a ponte,0,0,a vista,0,0,arredo,0,0,armadietto,0,0,armati,0,0,porta-vestiti,0,0
furniture,armadio,in legno,a specchio,0,0,a quattro ante,0,0,a porta,0,0,arredo a scaffale,0,0,a cabina,0,0,a incasso,0,0,a scompartimenti,0,0,chiuso,0,0,per cucina,0,0,armario per abbigliamento,0,0
stationery,astuccio,rigido,per occhiali,0,0,borsa,0,0,cappello,0,0,tazza,0,0,per matite,0,0,per matite,0,0,fornace,0,0,suitcase,0,0,per caffè,0,0,valigia,0,0
stationery,astuccio,portapenne,per penna,0,0,da disegno,0,0,borsa,0,0,vaso,0,0,per cosmetici,0,0,da viaggio,0,0,radiatore,0,0,a mano,0,0,a scoppio,0,0,big bag,0,0
stationery,astuccio,per la scuola,per pistola,0,0,portafoglio,0,0,guanto,0,0,calice,0,0,per occhiali,0,0,per pennarelli,0,0,riscaldamento a legna,0,0,portatile,0,0,marmitta,0,0,valigia per viaggio,0,0
stationery,astuccio,portaocchiali,per trucco,0,0,di camicie,0,0,guanti,0,0,giuggiole,0,0,per matite colorate,0,0,per penne a sfera,0,0,caldaia,0,0,in generale,0,0,da cucina,0,0,valigia gomma,0,0
stationery,astuccio,a bustina,per matite,0,0,da scarpe,0,0,guanti da sci,0,0,coppa,0,0,per pastelli,0,0,per strumenti musicali,0,0,riscaldamento elettrico,0,0,da viaggio,0,0,a scopa,0,0,valigia a mano,0,0
hobbies,attrezzo,martello,martello,1,1,martello,1,1,forbici,0,0,martello,1,1,cacciavite,0,1,martello,1,1,pala,0,0,pince,0,0,chitarra,0,0,martello,1,1
