human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
1.0,0.6156092937929597,0.6276609013893715,0.5749247387559389,0.31764858116795114,0.5631575702060919,0.19744345309476788,-0.1895039624003408,0.6543330654698585,0.587483991287155,0.09536360551828733
0.6156092937929597,1.0,0.6147784001455567,0.2913211153933761,0.2010269064376529,0.7095388214749201,0.07455406752060771,-0.07066789711340409,0.56538611072447,0.322397058948331,0.16512367521703197
0.6276609013893715,0.6147784001455567,1.0,0.41322073020977046,0.45157360642222955,0.6034121736879045,0.09922905917153252,0.30839302050541445,0.6712010502263137,0.31730936831806456,0.35900443488540545
0.5749247387559389,0.2913211153933761,0.41322073020977046,1.0,0.2399354281612261,0.1783922440797261,-0.17601063374607862,0.09919705913651675,0.322176962026173,0.11060422355790592,-0.28439166693618534
0.31764858116795114,0.2010269064376529,0.45157360642222955,0.2399354281612261,1.0,0.6161635530719822,-0.05000980874390922,0.5688397005889338,0.4794515497278661,0.35391999329984325,0.18106876718124837
0.5631575702060919,0.7095388214749201,0.6034121736879045,0.1783922440797261,0.6161635530719822,1.0,-0.039405952204521505,0.15312640846633818,0.6569087867598336,0.5014871893658539,0.2975775439720415
0.19744345309476788,0.07455406752060771,0.09922905917153252,-0.17601063374607862,-0.05000980874390922,-0.039405952204521505,1.0,0.022219048421469982,0.10954109096559331,0.2079126108154614,-0.06314937990476203
-0.1895039624003408,-0.07066789711340409,0.30839302050541445,0.09919705913651675,0.5688397005889338,0.15312640846633818,0.022219048421469982,1.0,0.21956149780143921,-0.07102251358553892,0.1639641379146273
0.6543330654698585,0.56538611072447,0.6712010502263137,0.322176962026173,0.4794515497278661,0.6569087867598336,0.10954109096559331,0.21956149780143921,1.0,0.25355173029489764,0.5511619961232078
0.587483991287155,0.322397058948331,0.31730936831806456,0.11060422355790592,0.35391999329984325,0.5014871893658539,0.2079126108154614,-0.07102251358553892,0.25355173029489764,1.0,0.03960782971004869
0.09536360551828733,0.16512367521703197,0.35900443488540545,-0.28439166693618534,0.18106876718124837,0.2975775439720415,-0.06314937990476203,0.1639641379146273,0.5511619961232078,0.03960782971004869,1.0
