participant,category,concept,concept_eng,exemplar,rank,abs_freq
iter1,PLANTS,abete,fir,pino,1,83720.0
iter1,PLANTS,abete,fir,fico d'india,2,0.0
iter1,PLANTS,abete,fir,pioppo,3,31078.0
iter1,PLANTS,abete,fir,tanneto,4,3.0
iter1,PLANTS,abete,fir,ero,5,24987.0
iter1,VEHICLES,aereo,plane,elicottere,1,32.0
iter1,VEHICLES,aereo,plane,aereo con ali piana,2,0.0
iter1,VEHICLES,aereo,plane,aereo con ali ripiegata in alto,3,0.0
iter1,VEHICLES,aereo,plane,aereo con ali ripiegata in basso,4,0.0
iter1,VEHICLES,aereo,plane,aereo a razzo,5,40.0
iter1,VEHICLES,aereo,plane,aereo a turbopropulsione,6,3.0
iter1,VEHICLES,aereo,plane,aereo a jet,7,9.0
iter1,VEHICLES,aereo,plane,aereo a sbalzo,8,2.0
iter1,VEHICLES,aereo,plane,idrovolante,9,12829.0
iter1,VEHICLES,aereo,plane,idrovolante con galleggiante,10,15.0
iter1,VEHICLES,aereo,plane,idrovolante con elicottero come parte del corpo vettore,11,0.0
iter1,VEHICLES,aereo,plane,aereo sostenuto da tanti elicotteri,12,0.0
iter1,VEHICLES,aereo,plane,aereo a elicottere in volo,13,0.0
iter1,VEHICLES,aereo,plane,aereo a,14,171.0
iter1,STATIONERY,agenda,diary,calendario,1,30666.0
iter1,STATIONERY,agenda,diary,todo-list,2,20.0
iter1,STATIONERY,agenda,diary,notepad,3,5680.0
iter1,STATIONERY,agenda,diary,organizzatore,4,23171.0
iter1,STATIONERY,agenda,diary,planner,5,32956.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,orrhidente,1,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,barbetta,2,6398.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,barbiere,3,22780.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,rasoie,4,4.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,barba di lana,5,7.0
iter1,FURNITURE,armadio,closet,armadio frullatore,1,0.0
iter1,FURNITURE,armadio,closet,armadio aspirapolvere,2,0.0
iter1,FURNITURE,armadio,closet,armadio lavandina,3,0.0
iter1,FURNITURE,armadio,closet,armadio lavastoviglie,4,0.0
iter1,FURNITURE,armadio,closet,armadio microonde,5,0.0
iter1,FURNITURE,armadio,closet,armadio lavatrice,6,2.0
iter1,FURNITURE,armadio,closet,armadio segreto,7,53.0
iter1,STATIONERY,astuccio,case,astuccio di viaggio,1,0.0
iter1,STATIONERY,astuccio,case,astuccio di viaggio con tetto,2,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro,1,80.0
iter1,HOBBIES,attrezzo,tool,attrezzo per l'arte,2,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da giardino,3,68.0
iter1,HOBBIES,attrezzo,tool,attrezzo da camping,4,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da cucina,5,65.0
iter1,HOBBIES,attrezzo,tool,attrezzo da lavoro manuale,6,6.0
iter1,HOBBIES,attrezzo,tool,attrezzo da cucina professionale,7,2.0
iter1,HOBBIES,attrezzo,tool,attrezzo per la costruzione,8,21.0
iter1,HOBBIES,attrezzo,tool,attrezzo per l'esercicio,9,0.0
iter1,HOBBIES,attrezzo,tool,attrezzo da gioco,10,26.0
iter1,VEHICLES,autobus,bus,autobus,1,663876.0
iter1,VEHICLES,automobile,car,berlina,1,38856.0
iter1,VEHICLES,automobile,car,sportscar,2,894.0
iter1,VEHICLES,automobile,car,limousine,3,29658.0
iter1,VEHICLES,automobile,car,van,4,41840.0
iter1,VEHICLES,automobile,car,hatchback,5,3422.0
iter1,VEHICLES,automobile,car,coupe,6,14564.0
iter1,VEHICLES,automobile,car,crossover,7,47046.0
iter1,VEHICLES,automobile,car,suv,8,38682.0
iter1,VEHICLES,automobile,car,sedan,9,9104.0
iter1,VEHICLES,automobile,car,convertible,10,3922.0
iter1,VEHICLES,automobile,car,mini car,11,27.0
iter1,VEHICLES,automobile,car,sports car,12,190.0
iter1,VEHICLES,automobile,car,pickup truck,13,104.0
iter1,VEHICLES,automobile,car,roadster,14,18488.0
iter1,VEHICLES,automobile,car,compact car,15,116.0
iter1,VEHICLES,automobile,car,station wagon,16,7302.0
iter1,VEHICLES,automobile,car,truck,17,26698.0
iter1,VEHICLES,automobile,car,saloon,18,18458.0
iter1,VEHICLES,automobile,car,estate car,19,14.0
iter1,VEHICLES,automobile,car,sports utility vehicle,20,36.0
iter1,VEHICLES,automobile,car,racing car,21,46.0
iter1,VEHICLES,automobile,car,luxury car,22,112.0
iter1,VEHICLES,automobile,car,taxi cab,23,38.0
iter1,VEHICLES,automobile,car,sports car coupe,24,0.0
iter1,VEHICLES,automobile,car,executive car,25,13.0
iter1,HOUSING BUILDINGS,bagno,bathroom,urino,1,1702.0
iter1,HOUSING BUILDINGS,bagno,bathroom,bacheca,2,31594.0
iter1,HOUSING BUILDINGS,bagno,bathroom,toilette,3,19354.0
iter1,HOUSING BUILDINGS,bagno,bathroom,convesso,4,18693.0
iter1,HOUSING BUILDINGS,bagno,bathroom,tubo di bagno,5,3.0
iter1,HOUSING BUILDINGS,bagno,bathroom,doccia,6,31052.0
iter1,HOUSING BUILDINGS,balcone,balcony,balcone dell'edificio,1,0.0
iter1,HOUSING BUILDINGS,balcone,balcony,terrazza,2,608470.0
iter1,PLANTS,basilico,basil,piacere,1,19171.0
iter1,PLANTS,basilico,basil,pesto,2,26292.0
iter1,PLANTS,basilico,basil,minestrone,3,37646.0
iter1,PLANTS,basilico,basil,caprese,4,24710.0
iter1,PLANTS,basilico,basil,insalata,5,31138.0
iter1,PLANTS,basilico,basil,gnocchi,6,49794.0
iter1,KITCHENWARE,bicchiere,glass,il bicchiere,1,129.0
iter1,KITCHENWARE,bicchiere,glass,il flûte,2,22.0
iter1,KITCHENWARE,bicchiere,glass,la coppa,3,507.0
iter1,KITCHENWARE,bicchiere,glass,l'antiglio,4,0.0
iter1,KITCHENWARE,bicchiere,glass,il martini,5,22.0
iter1,VEHICLES,bicicletta,bicycle,bicicletto,1,224.0
iter1,VEHICLES,bicicletta,bicycle,ciclomotore,2,37010.0
iter1,VEHICLES,bicicletta,bicycle,biciclo,3,1754.0
iter1,BODY PARTS,bocca,mouth,labbra,1,48526.0
iter1,BODY PARTS,bocca,mouth,denti,2,46856.0
iter1,BODY PARTS,bocca,mouth,lingua,3,36926.0
iter1,BODY PARTS,bocca,mouth,canini,4,11388.0
iter1,BODY PARTS,bocca,mouth,mucose,5,12361.0
iter1,BODY PARTS,bocca,mouth,mascella,6,34880.0
iter1,BODY PARTS,braccio,arm,mano,1,48976.0
iter1,BODY PARTS,braccio,arm,cuffo,2,1.0
iter1,BODY PARTS,braccio,arm,bracciale,3,17949.0
iter1,BODY PARTS,braccio,arm,tatoo,4,2111.0
iter1,BODY PARTS,braccio,arm,meccanismo di trazione,5,28.0
iter1,BODY PARTS,braccio,arm,meccanismo di scansione,6,20.0
iter1,PLANTS,cactus,cactus,pianta desertica,1,12.0
iter1,PLANTS,cactus,cactus,pianta cactacea,2,22.0
iter1,PLANTS,cactus,cactus,pino,3,83720.0
iter1,PLANTS,cactus,cactus,mesquite,4,479.0
iter1,PLANTS,cactus,cactus,cactus san marino,5,0.0
iter1,PLANTS,cactus,cactus,cactus dottato,6,0.0
iter1,PLANTS,cactus,cactus,cactus saguaro,7,154.0
iter1,PLANTS,cactus,cactus,cactus verde,8,70.0
iter1,PLANTS,cactus,cactus,cactus chiaro,9,0.0
iter1,PLANTS,cactus,cactus,cactus rosso,10,20.0
iter1,PLANTS,cactus,cactus,cactus barbaro,11,0.0
iter1,PLANTS,cactus,cactus,cactus prickly pear,12,0.0
iter1,CLOTHES,calza,sock,calzini,1,53432.0
iter1,CLOTHES,calza,sock,anzurani,2,0.0
iter1,CLOTHES,calza,sock,ottoesali,3,0.0
iter1,CLOTHES,calza,sock,scarpe a piedi,4,24.0
iter1,CLOTHES,calza,sock,sandali,5,47208.0
iter1,CLOTHES,calza,sock,stockings,6,229.0
iter1,CLOTHES,calza,sock,calzini da lavoro,7,14.0
iter1,CLOTHES,calza,sock,calzini da sport,8,2.0
iter1,CLOTHES,calza,sock,socks,9,3452.0
iter1,CLOTHES,calza,sock,stellevetters,10,0.0
iter1,HOUSING BUILDINGS,camera,bedroom,letto,1,36526.0
iter1,CLOTHES,camicia,shirt,camicia inumidificato,1,0.0
iter1,CLOTHES,camicia,shirt,camica di lana,2,0.0
iter1,CLOTHES,camicia,shirt,camicia di seta,3,48.0
iter1,CLOTHES,camicia,shirt,camicia di cotone,4,56.0
iter1,CLOTHES,camicia,shirt,camicia da lavoro,5,52.0
iter1,CLOTHES,camicia,shirt,camicia rigata,6,17.0
iter1,VEHICLES,camion,truck,carroccio,1,21504.0
iter1,VEHICLES,camion,truck,semirampe,2,3.0
iter1,VEHICLES,camion,truck,trailer,3,23265.0
iter1,VEHICLES,camion,truck,trattore,4,24336.0
iter1,VEHICLES,camion,truck,trazorre,5,0.0
iter1,VEHICLES,camion,truck,tronchetto,6,8172.0
iter1,VEHICLES,camion,truck,tiratore,7,28220.0
iter1,VEHICLES,camion,truck,tirolocatore,8,0.0
iter1,VEHICLES,camion,truck,furgoncino,9,22930.0
iter1,VEHICLES,camion,truck,autocarro,10,38636.0
iter1,VEHICLES,camion,truck,minicarro,11,11.0
iter1,VEHICLES,camion,truck,mezzo carico,12,102.0
iter1,VEHICLES,camion,truck,camion bara,13,0.0
iter1,VEHICLES,camion,truck,camion cisterna,14,673.0
iter1,VEHICLES,camion,truck,camion tetto avvolgente,15,0.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro di bronzo,1,28.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro metallico,2,3.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candeliera,3,13.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da caminetto,4,0.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da tavolo,5,2.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da tavolo da banco,6,0.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da cena,7,0.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da camerino,8,0.0
iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da tavolo da vano,9,0.0
iter1,ANIMALS,cane,dog,doga,1,2592.0
iter1,ANIMALS,cane,dog,bull terrier,2,4400.0
iter1,ANIMALS,cane,dog,labrador retriever,3,1996.0
iter1,ANIMALS,cane,dog,boxer,4,40047.0
iter1,ANIMALS,cane,dog,terrier,5,15501.0
iter1,ANIMALS,cane,dog,cocker spaniel,6,1639.0
iter1,ANIMALS,cane,dog,golden retriever,7,2013.0
iter1,ANIMALS,cane,dog,doberman,8,1116.0
iter1,ANIMALS,cane,dog,beagle,9,15767.0
iter1,ANIMALS,cane,dog,collie,10,5901.0
iter1,CLOTHES,canottiera,singlet,canottiera,1,15892.0
iter1,BODY PARTS,capello,hair,capello lungo,1,200.0
iter1,BODY PARTS,capello,hair,capello corto,2,468.0
iter1,BODY PARTS,capello,hair,capello pettinato,3,138.0
iter1,BODY PARTS,capello,hair,capello alto,4,44.0
iter1,BODY PARTS,capello,hair,capello in frullo,5,0.0
iter1,BODY PARTS,capello,hair,capello a punta,6,28.0
iter1,BODY PARTS,capello,hair,capello semplice,7,44.0
iter1,BODY PARTS,capello,hair,capello ricci,8,574.0
iter1,BODY PARTS,capello,hair,capello confriggio,9,0.0
iter1,BODY PARTS,capello,hair,capello con pizzetto,10,1.0
iter1,BODY PARTS,capello,hair,capello con sfratto,11,0.0
iter1,BODY PARTS,capello,hair,capello con scoce,12,0.0
iter1,BODY PARTS,capello,hair,capello di bronco,13,0.0
iter1,BODY PARTS,capello,hair,capello di riccio,14,1.0
