category,concept,human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
plants,abete,abete rosso,abete bianco,abete rosso,abete americano,abete bianco,abete bianco,abete bianco,albero,pino,abete rosso,abete rosso
vehicles,aereo,aereo militare,aereo da caccia,aereo da trasporto,aereo da passeggeri,aereo da combattimento,aereo commerciale,aereo a elica,aereoplano,aeroplano,aeroplano,elicottero
stationery,agenda,agenda mensile,agenda scolastica,calendario,calendario,agenda giornaliera,calendario digitale,agenda cartacea,calendario,calendario,calendario,calendario
furnishings/fittings,appendiabiti,appendiabiti da parete,gruccia,appendiabiti da parete,armadio,gancio appendiabiti,appendice per,appendiabiti a parete,scarpe,scarpe,jeans,borsa
furniture,armadio,armadio a muro,armadio a muro,armadio a muro,armadio a muro,armadio a due ante,armadio a due porte,armadio a muro,armadietto,armadio aperto,armadio per vestiti,armadio per vestiti
stationery,astuccio,astuccio rigido,astuccio per occhiali,borsa,cappello,astuccio per matite,tazza,astuccio per matite,fornace,astuccio portatile,astuccio per vino,valigia
hobbies,attrezzo,martello,martello,martello,forbici,cacciavite,martello,martello,pala,pennello,chitarra,martello
vehicles,autobus,autobus a due piani,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,bus,pullman,pullman
vehicles,automobile,automobile elettrica,berlina,fiat,auto,berlina,berlina,berline,berlina,berlina,auto,auto
housing buildings,bagno,bagno pubblico,bagno turco,vasca,doccia,vasca da bagno,doccia,doccia,doccia,doccia,vaso da bagno,lavandino
housing buildings,balcone,balcone a incasso,balcone a sbalzo,balcone da giardino,scale,balcone francese,loggia,balcone panoramico,balcone aperto,veranda,terrazza,terrazza
plants,basilico,basilico genovese,genovese,basilico di genova,basilico comune,basilico genovese,basilico comune,basilico genovese,basilico comune,basilico comune,basilico italiano,basilico dolce
kitchenware,bicchiere,bicchiere di vetro,bicchiere da vino,bicchiere da vino,bicchiere da vino,bicchiere di vetro,bicchiere da vino,bicchiere da acqua,bicchiere di vetro,coppa,tazza,bicchiere da birra
vehicles,bicicletta,bicicletta elettrica,mountain bike,bicicletta da corsa,mountain bike,city bike,montagna bicicletta,mountain bike,mountain bike,biciclo,mountain bike,bicicletta per bambini
body parts,bocca,bocca carnosa,bocca umana,labbra,labbra,bocca umana,bocca di un cannone,bocca umana,bocca di leone,labbra,mascella,lingua
body parts,braccio,braccio meccanico,braccio meccanico,braccio umano,braccio umano,arti superiori,braccio umano,braccio robotico,braccio umano,braccio umano,braccio umano,braccio destro
plants,cactus,fico d' india,mammillaria,cactus spinoso,aloe vera,saguaro,barrel cactus,cactus di natale,aloe vera,cactus rosso,agave,cactus rosso
clothes,calza,calza a rete,autoreggente,calza da uomo,guanti,calza da neve,calzino,calza di seta,pantaloni,calze nere,sandalia,calzino
housing buildings,camera,camera da letto,camera da letto,camera da letto,camera da letto,camera da letto,camera fotografica,camera da letto,fotocamera,letto,dslr,fotocamera
clothes,camicia,camicia hawaiana,camicia a maniche corte,polo,polo,abbottonata,camicia da notte,camicia a maniche lunghe,camicia di seta,camicia da uomo,camicia da uomo,maglia
vehicles,camion,furgone,autocarro,autocarro,camion di pompaggio,camion da costruzione,camion cisterna,autocarro,camioncino,camion cisterna,camioncino,camioncino
furnishings/fittings,candelabro,candelabro a tre bracci,candelabro da tavolo,candelabro a stelo,candelabro a cera,candelabro da tavolo,candelabro classico,candelabro da tavolo,candela,candeliera,candelabro di cristallo,candelabro a trecce
animals,cane,labrador,pastore tedesco,bulldog,pastore tedesco,alano,razza basset hound,pastore tedesco,cane da pastore,golden retriever,bulldog,labrador
clothes,canottiera,canottiera bianca,canottiera da uomo,canottiera sportiva,canoa,canottiera a maniche corte,canottiera da pesca,canottiera a manica corta,barchetta,canottieria,canottiera a maniche lunghe,canottiera sportiva
body parts,capello,capello riccio,riccio,capello naturale,capelli lunghi,capello liscio,corto,capelli lunghi,cappello,capello lungo,boccoli,baffi
clothes,cappello,berretto,basco,cappello da baseball,panama,berretto,berretto,berretto,berretto,beret,berbera,cappello fedora
clothes,cappotto,cappotto lungo,trench,cappotto di pelliccia,giacca,cappotto invernale,cappotto di lana,cappotto lungo,capello,pea coat,cappotto in pelle,giacca
foods,carne,carne di maiale,manzo,manzo,manzo,manzo,manzo,manzo,pollo,pollo,manzo,bovino
vehicles,carrozza,calesse,calesse,carrozza ferroviaria,treno,carrozza ferroviaria,carrozza ferroviaria,carrozza ferroviaria,automobile,carrozza a cavallo,carrozza passeggeri,carrozza a quattro ruote
hobbies,carte,carte da gioco,biglietto,carta da regalo,carte di credito,carta igienica,carta da parati,biglietto da visita,tarocchi,tarocchi,carta da gioco,carte da gioco
furniture,cassettiera,cassettiera di legno,cassettiera da ufficio,cassettiera da bagno,cassettiera a rotelle,cassettiera da camera da letto,cassettiera per cucina,cassettiera da camera da letto,cassettiera di legno,armadio,sony,cassette
animals,cavallo,cavallo da corsa,appaloosa,destriero,cavallo da guerra,quarter horse,cavallo da corsa,purosangue,cavallo da corsa,cavallo da corsa,pony,pony
hobbies,cd,cd audio,cd-rom,cd singolo,album,cd audio,compact disc,cd audio,compact disc,cd-r,cd singolo,cd-rom
furnishings/fittings,centrotavola,centrotavola di fiori,vaso,centrotavola in legno,centrotavola in legno,centrotavola floreale,tavolo rotondo,mazzo di fiori,pizzeria,centrotavola con pianta,tavola,tavola
foods,cereale,grano,riso,riso,riso,grano,oatmeal,avena,mais,granola,biscotti,farina
body parts,cervello,cervello umano,cervello umano,cervello umano,cerebro,cervello umano,cervello umano,neocorteccia,cerebro,cerebro,cerebro,cerebro
hobbies,chitarra,chitarra elettrica,chitarra classica,chitarra acustica,classica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra elettrica
plants,ciclamino,ciclamino bianco,cyclamen africanum,ciclamino rosso,rosa,cyclamen coum,ciclamino rosa,ciclamino comune,scooter,ciclamino rosso,pet,tulipano
plants,ciliegio,ciliegio in fiore,ciliegio dolce,ciliegia,ciliegia,prunus avium,ciliegio comune,ciliegio acido,acacia,albero di ciliegio,rosso,albero
foods,cioccolato,cioccolato fondente,fondente,cioccolato bianco,cioccolata,cioccolato fondente,bianco,cioccolato fondente,cioccolata,cioccolata,bianco,barretta
stationery,colla,colla vinilica,colla a caldo,colla adesiva,adesivo,colla vinilica,colla da carta,colla a caldo,colla per capelli,colla per capelli,adesivo,adesivo
body parts,collo,collo lungo,collo di camicia,collo di cigno,collo di vetro,collo della camicia,collo di animale,cravatta,collo di carta,collo di persona,collo bollente,bocca
housing buildings,colonna,colonna dorica,sonora,colonna sonora,palazzo,colonna sonora,colonna idraulica,colonna sonora,colonna sonora,colonna di marmo,colonna di supporto,colonna di supporto
kitchenware,coltello,coltello a serramanico,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina
furniture,comodino,comodino di legno,comodino classico,comodino da notte,letto,comodino in legno,scrivania,comodino da notte,bidet,comodino bianco,cassetta,cassette
hobbies,computer,computer portatile,supercomputer,desktop,desktop,desktop,desktop computer,desktop,desktop,desktop computer,desktop,desktop
furniture,comò,comò a cassetti,comò classico,comò a specchio,cassettone,comò antico,scatola a molla,comò a cassetti,comò di legno,computer,borsa,monitor
animals,coniglio,coniglio nano,coniglio nano,coniglio europeo,lepre,coniglio nano,coniglio selvatico,coniglio selvatico,coniglio selvatico,coniglio di cartone,coniglio selvatico,coniglio selvatico
