category,concept,human,idefics2-8b,idefics2-8b-img,idefics2-8b-img_match,idefics2-8b-img_order,idefics2-8b_match,idefics2-8b_order,llama-3.1-70b,llama-3.1-70b_match,llama-3.1-70b_order,llama-3.1-8b,llama-3.1-8b_match,llama-3.1-8b_order,llama-3.2-3b,llama-3.2-3b_match,llama-3.2-3b_order,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,llava-v1.6-mistral-7b-img_match,llava-v1.6-mistral-7b-img_order,llava-v1.6-mistral-7b_match,llava-v1.6-mistral-7b_order,mistral-7b,mistral-7b_match,mistral-7b_order,mixtral-8x7b,mixtral-8x7b_match,mixtral-8x7b_order,nemo-12b,nemo-12b_match,nemo-12b_order
plants,abete,abete rosso,abete rosso,abete rosso,True,True,True,True,abete bianco,True,False,abete rosso,True,True,abete americano,False,False,albero,pino,False,False,False,False,abete bianco,True,False,abete bianco,True,False,abete bianco,True,False
plants,abete,abete bianco,abete bianco,abete rosso del nord,False,False,True,True,abete amabile,False,False,abete di douglas,False,False,abete di montagna,False,False,acacia,faggio,False,False,False,False,abete nero,False,False,abete di douglas,False,False,abete rosso,True,False
plants,abete,abete di natale,acacia,abete nero,False,False,False,False,abete rosso,True,False,abete nero,False,False,abete canadese,False,False,palma,cedro,False,False,False,False,abete rosso del nord,False,False,abete rosso,True,False,abete di nordmann,False,False
vehicles,aereo,aereo militare,aeroplano,elicottero,False,False,False,False,aereo da caccia,False,False,aereo da trasporto,False,False,aereo da passeggeri,False,False,aereoplano,aeroplano,False,False,False,False,aereo commerciale,False,False,aereo da combattimento,False,False,aereo a elica,False,False
vehicles,aereo,aereo di linea,elicottero,aeroplano,False,False,False,False,aereo da trasporto,False,False,aereo da carico,False,False,aereo passeggeri,True,False,aeroplano,aereoplano,False,False,False,False,jet,True,False,aereo da turismo,False,False,aereo da guerra,False,False
vehicles,aereo,jet,aerostato,dirigibile,False,False,False,False,aereo da addestramento,False,False,aereo da turismo,False,False,aereo da trasporto,False,False,elicottero,aereo a vela,False,False,False,False,aereo da ricognizione,False,False,aereo da caccia,False,False,elicottero,False,False
vehicles,aereo,aereo passeggeri,dirigibile,aerostato,False,False,False,False,aereo da turismo,False,False,aereo da addestramento,False,False,aereo da ricognizione,False,False,aerostato,coda,False,False,False,False,aereo da turismo,False,False,aereo da trasporto passeggeri,False,False,aereo da ricognizione,False,False
vehicles,aereo,aereo caccia,aerostazione,elica,False,False,False,False,aliscafo,False,False,elicottero,False,False,aereo da pattugliamento,False,False,drone,elica,False,False,False,False,elicottero,False,False,aereo da collegamento,False,False,aereo da caccia,False,False
stationery,agenda,agenda mensile,calendario,calendario,False,False,False,False,agenda scolastica,False,False,calendario,False,False,calendario,False,False,calendario,calendario,False,False,False,False,calendario digitale,False,False,agenda giornaliera,True,False,agenda cartacea,False,False
stationery,agenda,agenda settimanale,calendario digitale,diario,False,False,False,False,agenda personale,False,False,agenda cartacea,False,False,piano,False,False,agenda di lavoro,planner,False,False,False,False,calendario da tasca,False,False,agenda digitale,False,False,agenda professionale,False,False
stationery,agenda,agenda giornaliera,a4,planner,False,False,False,False,agenda settimanale,True,False,agenda digitale,False,False,elenco,False,False,agenda giornaliera,quaderno,False,False,True,True,calendario di appuntamenti,False,False,agenda settimanale,True,False,agenda scolastica,False,False
stationery,agenda,agenda annuale,carta di agenda,agendina,False,False,False,False,agenda elettronica,False,False,rubrica,False,False,orario,False,False,agenda di eventi,diario,False,False,False,False,calendario di eventi,False,False,agenda elettronica,False,False,agenda settimanale,True,False
stationery,agenda,agenda tascabile,diario,notebook,False,False,False,False,agenda cartacea,False,False,diario,False,False,taccuino,False,False,agenda digitale,notepad,False,False,False,False,calendario personale,False,False,agenda mensile,True,False,agenda personale,False,False
furnishings/fittings,appendiabiti,appendiabiti da parete,jeans,borsa,False,False,False,False,gruccia,False,False,appendiabiti da parete,True,True,armadio,False,False,scarpe,scarpe,False,False,False,False,appendice per,False,False,gancio appendiabiti,False,False,appendiabiti a parete,False,False
furnishings/fittings,appendiabiti,appendiabiti da terra,borsa,camisa,False,False,False,False,portabiti,False,False,appendiabiti da muro,True,False,cassettone,False,False,calze,manichetta,False,False,False,False,scaffale per abiti,False,False,portaombrelli,False,False,appendiabiti a piantana,False,False
furnishings/fittings,appendiabiti,appendiabiti da muro,scarpe,pantaloni,False,False,False,False,attaccapanni,False,False,appendiabiti a muro,False,False,cassettiera,False,False,pantaloni,hangar,False,False,False,False,tavolo rotativo,False,False,gancio da parete,False,False,appendiabiti portatile,False,False
furnishings/fittings,appendiabiti,appendiabiti a rastrelliera,pantaloni,cappello,False,False,False,False,appendiabiti a scomparsa,False,False,appendiabiti a parete,False,False,cassettiera con specchio,False,False,guanti,maglietta,False,False,False,False,appesantitore,False,False,gancio,False,False,appendiabiti da viaggio,False,False
furniture,armadio,armadio a muro,armadio per vestiti,armadio per vestiti,False,False,False,False,armadio a muro,True,True,armadio a muro,True,True,armadio a muro,True,True,armadietto,armadio aperto,False,False,False,False,armadio a due porte,False,False,armadio a due ante,True,False,armadio a muro,True,True
furniture,armadio,armadio scorrevole,armario,scaffale,False,False,False,False,armadio scorrevole,True,True,armadio a tre ante,False,False,armadio a vetro,False,False,armadio a due porte,vestiario,False,False,False,False,armario per,False,False,armadio con ante scorrevoli,False,False,armadio guardaroba,False,False
furniture,armadio,armadio a due ante,armaio,cassa,False,False,False,False,armadio a ponte,False,False,armadio a due ante,True,True,armadio a cassetti,False,False,armario,armadietto,False,False,False,False,armatore,False,False,armadio con cassetti,False,False,armadio a cassetti,False,False
furniture,armadio,armadio a battente,armati,armadio per cucina,False,False,False,False,armadio a giorno,False,False,armadio a soppalco,False,False,armadio a porta,False,False,arredo,armadio chiuso,False,False,False,False,armadio a ruote,False,False,armadio a ponte,False,False,armadio a vista,False,False
furniture,armadio,armadio in legno,armadio per cucina,armadio per biancheria,False,False,False,False,armadio a specchio,False,False,armadio a quattro ante,False,False,armadio da cucina,False,False,armadio a scompartimenti,armadio di legno,False,False,False,False,arredo per bagno,False,False,armadio a cabina,False,False,armadio a incasso,False,False
stationery,astuccio,astuccio rigido,astuccio per vino,valigia,False,False,False,False,astuccio per occhiali,False,False,borsa,False,False,cappello,False,False,fornace,astuccio portatile,False,False,False,False,tazza,False,False,astuccio per matite,False,False,astuccio per matite,False,False
stationery,astuccio,portapenne,,tasca,False,False,False,False,astuccio per penna,False,False,astuccio da disegno,False,False,borsa,False,False,radiatore,astuccio da viaggio,False,False,False,False,vaso,False,False,astuccio per cosmetici,False,False,astuccio da viaggio,False,False
stationery,astuccio,astuccio per la scuola,,cassette,False,False,False,False,astuccio per trucco,False,False,portafoglio,False,False,guanto,False,False,riscaldamento a legna,astuccio con manico,False,False,False,False,calice,False,False,astuccio per occhiali,False,False,astuccio per colori,False,False
stationery,astuccio,portaocchiali,,,False,False,False,False,astuccio per matite,False,False,valigetta,False,False,guanti,False,False,caldaia,astuccio da lavoro,False,False,False,False,giuggiole,False,False,astuccio per matite colorate,False,False,astuccio per penne,False,False
