participant,category,concept,concept_eng,exemplar,rank,abs_freq
iter1,PLANTS,abete,fir,abete rosso,1,15104.0
iter1,PLANTS,abete,fir,abete bianco,2,224.0
iter1,PLANTS,abete,fir,abete nero,3,104.0
iter1,PLANTS,abete,fir,abeto colorato,4,0.0
iter1,PLANTS,abete,fir,abete gigante,5,102.0
iter1,PLANTS,abete,fir,abete delle alpi,6,6.0
iter1,PLANTS,abete,fir,abete di grand fir,7,0.0
iter1,PLANTS,abete,fir,abete blu,8,13.0
iter1,PLANTS,abete,fir,abete bianco dal verme,9,0.0
iter1,PLANTS,abete,fir,abete rosso bianco,10,0.0
iter1,PLANTS,abete,fir,abete douglas,11,31.0
iter1,VEHICLES,aereo,plane,jet,1,33516.0
iter1,VEHICLES,aereo,plane,elicottero,2,30198.0
iter1,VEHICLES,aereo,plane,aereoplano,3,3094.0
iter1,VEHICLES,aereo,plane,aerospitaine,4,0.0
iter1,VEHICLES,aereo,plane,airliner,5,112.0
iter1,VEHICLES,aereo,plane,drone,6,43184.0
iter1,VEHICLES,aereo,plane,biplano,7,6073.0
iter1,VEHICLES,aereo,plane,triplano,8,335.0
iter1,VEHICLES,aereo,plane,elica,9,18220.0
iter1,VEHICLES,aereo,plane,jet d'acqua,10,0.0
iter1,VEHICLES,aereo,plane,dirigibile,11,12297.0
iter1,VEHICLES,aereo,plane,aereostato,12,9.0
iter1,VEHICLES,aereo,plane,seaplane,13,178.0
iter1,VEHICLES,aereo,plane,autogiro,14,1926.0
iter1,VEHICLES,aereo,plane,helicarrier,15,208.0
iter1,VEHICLES,aereo,plane,aeroscala,16,1.0
iter1,VEHICLES,aereo,plane,aeroferry,17,0.0
iter1,VEHICLES,aereo,plane,aeroambulanza,18,1080.0
iter1,VEHICLES,aereo,plane,aeroscheletra,19,0.0
iter1,VEHICLES,aereo,plane,aerosilurante,20,733.0
iter1,VEHICLES,aereo,plane,aerojeep,21,0.0
iter1,VEHICLES,aereo,plane,aerospi,22,0.0
iter1,STATIONERY,agenda,diary,calendario digitale,1,140.0
iter1,STATIONERY,agenda,diary,calendario paper-based,2,0.0
iter1,STATIONERY,agenda,diary,calendario personale,3,83.0
iter1,STATIONERY,agenda,diary,calendario professionale,4,26.0
iter1,STATIONERY,agenda,diary,calendario condiviso,5,33.0
iter1,STATIONERY,agenda,diary,calendario digitale condiviso,6,0.0
iter1,STATIONERY,agenda,diary,calendario di gestione progetto,7,0.0
iter1,STATIONERY,agenda,diary,calendario di allenamenti,8,20.0
iter1,STATIONERY,agenda,diary,calendario scolastico,9,388.0
iter1,STATIONERY,agenda,diary,calendario religiosa,10,0.0
iter1,STATIONERY,agenda,diary,calendario lunare,11,205.0
iter1,STATIONERY,agenda,diary,calendario solare,12,27.0
iter1,STATIONERY,agenda,diary,calendario agricolo,13,160.0
iter1,STATIONERY,agenda,diary,calendario meteorologico,14,101.0
