category,concept,human,llama3.1-70b,llama3.1,llama3.2,mixtral,mistral,nemo,llava,llava-img,idefics2,idefics2-img
plants,abete,rosso,bianco,rosso,americano,bianco,bianco,bianco,albero,pino,rosso,rosso
vehicles,aereo,militare,da caccia,da trasporto,da passeggeri,da combattimento,commerciale,a elica,aereoplano,aeroplano,aeroplano,elicottero
stationery,agenda,mensile,scolastica,calendario,calendario,giornaliera,calendario digitale,cartacea,calendario,calendario,calendario,calendario
furnishings/fittings,appendiabiti,da parete,gruccia,da parete,armadio,gancio appendiabiti,appendice per cintura,a parete,scarpe,scarpe,jeans,borsa
furniture,armadio,a muro,a muro,a muro,a muro,a due ante,a porta rovescia,a muro,armadietto,aperto,per vestiti,per vestiti
stationery,astuccio,rigido,per occhiali,borsa,cappello,per matite,tazza,per matite,fornace,suitcase,per caffè,valigia
hobbies,attrezzo,martello,martello,martello,forbici,cacciavite,martello,martello,pala,pince,chitarra,martello
vehicles,autobus,a due piani,urbano,urbano,urbano,urbano,urbano,urbano,urbano,bus,pullman,pullman
vehicles,automobile,elettrica,berlina,fiat,auto,berlina,berlina,berline,berlina,berlina,auto,auto
housing buildings,bagno,pubblico,turco,vasca,doccia,vasca da bagno,doccia,doccia,doccia,doccia,vaso da bagno,lavandino
housing buildings,balcone,a incasso,a sbalzo,da giardino,scale,francese,loggia,panoramico,aperto,veranda,terrazza,terrazza
plants,basilico,genovese,genovese,di genova,comune,genovese,comune,genovese,comune,comune,italiano,peppermint
kitchenware,bicchiere,di vetro,da vino,da vino,da vino,di vetro,da vino,da acqua,di vetro,coppa,tazza,da birra
vehicles,bicicletta,elettrica,mountain bike,da corsa,mountain bike,city bike,montagna bicicletta,mountain bike,mountain bike,biciclo,mountain bike,per bambini
body parts,bocca,carnosa,umana,labbra,labbra,umana,dell'uomo,umana,di leone,labbra,mascella,lingua
body parts,braccio,meccanico,meccanico,umano,umano,arti superiori,umano,robotico,umano,umano,umano,destro
plants,cactus,fico d'india,mammillaria,spinoso,aloe vera,saguaro,barrel cactus,barrel,aloe vera,rosso,agave,rosso
clothes,calza,a rete,autoreggente,da uomo,guanti,da neve,calze da ginocchio,di seta,pantaloni,calze nere,sandalia,calzino
housing buildings,camera,da letto,da letto,da letto,da letto,da letto,fotografica,da letto,fotocamera,letto,dslr,fotocamera
clothes,camicia,hawaiana,a maniche corte,polo,polo,abbottonata,da notte,a maniche lunghe,di seta,da uomo,da uomo,maglia
vehicles,camion,furgone,autocarro,autocarro,di pompaggio,da costruzione,cisterna,autocarro,camioncino,cisterna,camioncino,camioncino
furnishings/fittings,candelabro,a tre bracci,da tavolo,a stelo,a candele,da tavolo,classico,da tavolo,a tre rametti,candeliera,di cristallo,a trecce
animals,cane,labrador,pastore tedesco,bulldog,pastore tedesco,alano,razza basset hound,pastore tedesco,da pastore,golden retriever,bulldog,labrador
clothes,canottiera,bianca,da uomo,sportiva,canoa,a maniche corte,da regata,a manica corta,barchetta,cano,a maniche lunghe,da bagnante
body parts,capello,riccio,riccio,naturale,capelli lunghi,liscio,corto,capelli lunghi,cappello,lungo,boccoli,baffi
clothes,cappello,berretto,basco,da baseball,panama,berretto,berretto,berretto,berretto,beret,berbera,fedora
clothes,cappotto,lungo,trench,di pelliccia,giacca,invernale,di lana,lungo,capello,pea coat,in pelle,giacca
foods,carne,di maiale,manzo,manzo,manzo,manzo,manzo,manzo,pollo,pollo,manzo,bovino
vehicles,carrozza,calesse,calesse,ferroviaria,treno,ferroviaria,ferroviaria,ferroviaria,automobile,a cavallo,passeggeri,a quattro ruote
hobbies,carte,da gioco,biglietto,carta da regalo,di credito,carta igienica,carta da parati,biglietto da visita,tarocchi,tarocchi,carta da gioco,da gioco
furniture,cassettiera,di legno,da ufficio,da bagno,a rotelle,da camera da letto,da tavola,da camera da letto,di legno,armadio,sony,cassette
animals,cavallo,da corsa,appaloosa,destriero,da guerra,quarter horse,da corsa,purosangue,da corsa,da corsa,pony,pony
hobbies,cd,audio,cd-rom,singolo,album,audio,compact disc,audio,compact disc,cd-r,singolo,cd-rom
furnishings/fittings,centrotavola,di fiori,vaso,in legno,in legno,floreale,tavolo rotondo,mazzo di fiori,pizzeria,con pianta,tavola,tavola
foods,cereale,grano,riso,riso,riso,grano,oatmeal,avena,mais,granola,biscotti,farina
body parts,cervello,umano,umano,umano,cerebro,umano,umano,neocorteccia,cerebro,cerebro,cerebro,cerebro
hobbies,chitarra,elettrica,classica,acustica,classica,acustica,acustica,acustica,acustica,acustica,acustica,elettrica
