human,llama3.1-70b,llama3.1,llama3.2,mixtral,mistral,nemo,llava,llava-img,idefics2,idefics2-img
1.0,0.2958901672956316,0.13848777460972583,0.07501443463132007,0.08062546536098403,0.23266333385028926,0.19299854493608237,0.06799218307535841,0.13933705337486674,0.14982266854090603,0.22133661073210145
0.2958901672956316,1.0,0.09122328596347579,0.04834029845937558,0.01274460682259175,0.06858480555477682,0.24588728060917003,0.004709306606943265,0.10976127389063559,0.007026056735329622,0.013263947608003297
0.13848777460972583,0.09122328596347579,1.0,0.27421646854681936,0.3318458158729785,0.10219722613573085,0.24126278389832864,0.0025959204511592495,0.13441092707088473,-0.013594856798988956,0.15920193275305883
0.07501443463132007,0.04834029845937558,0.27421646854681936,1.0,0.04622825644054948,0.07921821087228091,0.06933638273382887,0.07944638455699889,0.047387799334362574,0.03697004394032065,0.07140335711508132
0.08062546536098403,0.01274460682259175,0.3318458158729785,0.04622825644054948,1.0,0.30198622320465246,0.06492930300309017,0.07520986900349573,0.1447572577327261,-0.009642812586448286,0.159814344918897
0.23266333385028926,0.06858480555477682,0.10219722613573085,0.07921821087228091,0.30198622320465246,1.0,0.17801109705961798,0.3476046369677388,0.16131648328190654,0.09687425914620115,0.19795281282332988
0.19299854493608237,0.24588728060917003,0.24126278389832864,0.06933638273382887,0.06492930300309017,0.17801109705961798,1.0,0.05748807879965251,-0.010141718373783568,0.0733520700561923,0.03756474780245
0.06799218307535841,0.004709306606943265,0.0025959204511592495,0.07944638455699889,0.07520986900349573,0.3476046369677388,0.05748807879965251,1.0,0.24473308167381605,0.12340254552037493,0.19585484424444546
0.13933705337486674,0.10976127389063559,0.13441092707088473,0.047387799334362574,0.1447572577327261,0.16131648328190654,-0.010141718373783568,0.24473308167381605,1.0,-0.02862772873717662,0.2849409022843395
0.14982266854090603,0.007026056735329622,-0.013594856798988956,0.03697004394032065,-0.009642812586448286,0.09687425914620115,0.0733520700561923,0.12340254552037493,-0.02862772873717662,1.0,0.2958813594506905
0.22133661073210145,0.013263947608003297,0.15920193275305883,0.07140335711508132,0.159814344918897,0.19795281282332988,0.03756474780245,0.19585484424444546,0.2849409022843395,0.2958813594506905,1.0
