category,concept,human,llama3.1-70b,llama3.1,llama3.2,mixtral,mistral,nemo,llava,llava-img,idefics2,idefics2-img
plants,abete,rosso,bianco,rosso,di montagna,bianco,bianco,rosso,albero,pino,acacia,rosso
vehicles,aereo,militare,da trasporto,da carico,da passeggeri,da combattimento,commerciale,di linea,aereoplano,con ali,aeroplano,elicottero
stationery,agenda,mensile,scolastica,cartacea,calendario,elettronica,calendario digitale,cartacea,calendario,calendario,calendario,calendario
furnishings/fittings,appendiabiti,da parete,gruccia,a stendibiancheria,cassettone,gancio appendiabiti,vestaglia,a parete,scarpe,hangar,jeans,camisa
furniture,armadio,a muro,a muro,a muro,a muro,a due ante,a porta rovescia,a muro,a scomparsa,aperto,armario,scaffale
stationery,astuccio,rigido,per occhiali,borsa,cappello,per matite,tazza,per matite,fornace,a mano,per caffè,valigia
hobbies,attrezzo,martello,martello,martello,forbici,cacciavite,martello,martello,pala,da lavoro,scopa,martello
vehicles,autobus,a due piani,a due piani,filobus,urbano,urbano,urbano,urbano,bus,bus,pullman,pullman
vehicles,automobile,elettrica,berlina,auto,auto,berlina,berlina,berline,berlina,berlina,auto,auto
housing buildings,bagno,pubblico,vasca,vasca,doccia,vasca da bagno,doccia,vasca da bagno,vaso,doccia,vaso da bagno,lavandino
housing buildings,balcone,a incasso,a sbalzo,di ferro,scale,francese,terrazzo,a vista,terrazza,terrazza,terrazza,terrazza
plants,basilico,genovese,genovese,comune,comune,genovese,comune,dolce,comune,fresco,piccante,
kitchenware,bicchiere,di vetro,da vino,da vino,da vino,di vetro,da vino,calice,di vetro,coppa,tazza,da vino
vehicles,bicicletta,elettrica,mountain bike,da corsa,mountain bike,city bike,montagna,mountain bike,mountain bike,biciclo,mountain bike,da montagna
body parts,bocca,carnosa,umana,umana,labbra,umana,dell'uomo,umana,di leone,labbra,inferiore,labbra
body parts,braccio,meccanico,meccanico,umano,umano,arti superiori,umano,robotico,umano,umano,umano,destro
plants,cactus,fico d'india,mammillaria,di notte,aloe,saguaro,barrel cactus,barrel,succulenta,in vase,cactaceae,
clothes,calza,a rete,autoreggente,da donna,guanti,da neve,calze da ginocchio,di cotone,calzini,nera,da sport,calzino
housing buildings,camera,da letto,da letto,da letto,da letto,da letto,fotografica,da letto,fotocamera,letto,dslr,fotocamera
clothes,camicia,hawaiana,a maniche corte,polo,polo,abbottonata,da notte,button-down,bianca,da lavoro,da notte,camisetta
vehicles,camion,furgone,autocarro,autocarro,di pompaggio,da costruzione,cisterna,autocarro,camioncino,cisterna,camioncino,camioncino
furnishings/fittings,candelabro,a tre bracci,a 5 bracci,a stelo,a braccioli,da tavolo,classico,a bracci,a tre ramificazioni,,a tre braccia,a trecce
animals,cane,labrador,levriero,pastore tedesco,pastore tedesco,pastore tedesco,razza basset hound,pastore tedesco,da pastore,golden retriever,bulldog,labrador
clothes,canottiera,bianca,classica,da donna,canoa,a maniche corte,da regata,a manica corta,da barca,canottiere da bagno,da bagnato,da bagno
body parts,capello,riccio,riccio,biondo,capelli lunghi,liscio,di cavallo,capelli lunghi,berretto,lungo,boccoli,boccoli
clothes,cappello,berretto,a cilindro,da baseball,panama,berretto,berretto,berretto,di carta,berretto,berretta,fedora
