,participant,category,concept,concept_eng,exemplar,rank,abs_freq
0,iter1,PLANTS,abete,fir,albero,1,17569.0
1,iter1,PLANTS,abete,fir,arbusto,2,14939.0
2,iter1,PLANTS,abete,fir,piante,3,25266.0
3,iter1,PLANTS,abete,fir,vegetazione,4,21755.0
4,iter1,PLANTS,abete,fir,albero da frullo,5,0.0
5,iter1,PLANTS,abete,fir,albero da legno,6,26.0
6,iter1,PLANTS,abete,fir,albero da fr,7,4.0
7,iter1,VEHICLES,aereo,plane,aereo,1,962449.0
8,iter1,VEHICLES,aereo,plane,aereoplano,2,1547.0
9,iter1,VEHICLES,aereo,plane,aereo nero,3,38.0
10,iter1,VEHICLES,aereo,plane,aereo bianco,4,35.0
11,iter1,VEHICLES,aereo,plane,aereo rosso,5,174.0
12,iter1,VEHICLES,aereo,plane,aereo giallo,6,56.0
13,iter1,VEHICLES,aereo,plane,aereo blu,7,309.0
14,iter1,VEHICLES,aereo,plane,aereo rosso bianco e giallo,8,0.0
15,iter1,VEHICLES,aereo,plane,aereo rosso bianco e nero,9,0.0
16,iter1,VEHICLES,aereo,plane,aereo rosso bianco e blu,10,0.0
17,iter1,VEHICLES,aereo,plane,aereo rosso bianco e verde,11,0.0
18,iter1,VEHICLES,aereo,plane,aereo rosso bianco e arancione,12,0.0
19,iter1,VEHICLES,aereo,plane,aereo rosso bianco e rosso,13,0.0
20,iter1,VEHICLES,aereo,plane,aereo rosso bianco e grigio,14,0.0
21,iter1,VEHICLES,aereo,plane,aereo rosso bianco,15,0.0
22,iter1,STATIONERY,agenda,diary,agenda giornaliera,1,387.0
23,iter1,STATIONERY,agenda,diary,agenda settimanale,2,26.0
24,iter1,STATIONERY,agenda,diary,agenda mensile,3,65.0
25,iter1,STATIONERY,agenda,diary,agenda annuale,4,103.0
26,iter1,STATIONERY,agenda,diary,agenda personale,5,260.0
27,iter1,STATIONERY,agenda,diary,agenda professionale,6,23.0
28,iter1,STATIONERY,agenda,diary,agenda familiare,7,12.0
29,iter1,STATIONERY,agenda,diary,agenda di lavoro,8,23.0
30,iter1,STATIONERY,agenda,diary,agenda di studio,9,35.0
31,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,pantaloni,1,24566.0
32,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,camicie,2,27358.0
33,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,scarpe,3,459506.0
34,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,guanti,4,26394.0
35,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,cinture,5,24064.0
