category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_abete rosso,rosso,5,1,2,1.2,0.8,1.0,5,0.82005,33472.0
plants,piante,abete,ABETE_abete bianco,bianco,5,1,3,2.0,0.2,1.0,5,0.41003,2759185.0
plants,piante,abete,ABETE_abete cuneese,cuneese,1,3,3,3.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete d'alpi,d'alpi,1,4,4,4.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete fylkesnøtt,fylkesnøtt,1,5,5,5.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete grigio,grigio,1,6,6,6.0,0.0,0.2,5,0.02005,17938.0
plants,piante,abete,ABETE_abete nero,nero,5,2,7,4.2,0.0,1.0,5,0.37161,30046.0
plants,piante,abete,ABETE_abete nero del giura,nero del giura,1,8,8,8.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete nero di vosges,nero di vosges,1,9,9,9.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete rosso di svezia,rosso di svezia,1,10,10,10.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete rosso di danimarca,rosso di danimarca,1,11,11,11.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete rosso di siberia,rosso di siberia,1,12,12,12.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete rosso euroasiatico,rosso euroasiatico,1,13,13,13.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete sciotto,sciotto,1,14,14,14.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete serbo,serbo,1,15,15,15.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete sessile,sessile,1,16,16,16.0,0.0,0.2,5,0.02005,854.0
plants,piante,abete,ABETE_abete siberiano,siberiano,2,4,17,10.5,0.0,0.4,5,0.14999,19935.0
plants,piante,abete,ABETE_abete soglio,soglio,1,18,18,18.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di douglas,di douglas,1,4,4,4.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_faggio,faggio,1,5,5,5.0,0.0,0.2,5,0.02005,28184.0
plants,piante,abete,ABETE_larice,larice,1,6,6,6.0,0.0,0.2,5,0.02005,39082.0
plants,piante,abete,ABETE_abete cembalo,cembalo,2,3,4,3.5,0.0,0.4,5,0.06321,
plants,piante,abete,ABETE_abete cuniphoro,cuniphoro,1,5,5,5.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete morbido,morbido,2,6,10,8.0,0.0,0.4,5,0.07578,17569.0
plants,piante,abete,ABETE_abete fuso,fuso,1,4,4,4.0,0.0,0.2,5,0.02005,42568.0
plants,piante,abete,ABETE_abete dalmata,dalmata,1,5,5,5.0,0.0,0.2,5,0.02005,18023.0
plants,piante,abete,ABETE_abete di davide,di davide,1,6,6,6.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete silver fir,silver fir,1,7,7,7.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete bianco canadese,bianco canadese,1,8,8,8.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete montano,montano,1,9,9,9.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete bianco alba,bianco alba,1,5,5,5.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,3,1,8,5.0,0.2,0.6,5,0.25874,27876.0
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,1,2,2,2.0,0.0,0.2,5,0.02005,30198.0
vehicles,veicoli,aereo,AEREO_mongolfiera,mongolfiera,1,3,3,3.0,0.0,0.2,5,0.02005,17601.0
vehicles,veicoli,aereo,AEREO_dirigibile,dirigibile,3,4,6,4.6667,0.0,0.6,5,0.12068,12297.0
vehicles,veicoli,aereo,AEREO_paracadute,paracadute,2,5,11,8.0,0.0,0.4,5,0.09976,20531.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,2,5,6,5.5,0.0,0.4,5,0.05182,275.0
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,2,5,7,6.0,0.0,0.4,5,0.06321,319.0
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,2,8,8,8.0,0.0,0.4,5,0.0401,97.0
vehicles,veicoli,aereo,AEREO_aereo da turismo,da turismo,2,1,9,5.0,0.2,0.4,5,0.22005,111.0
vehicles,veicoli,aereo,AEREO_boeing,boeing,3,1,2,1.6667,0.2,0.6,5,0.2401,38034.0
vehicles,veicoli,aereo,AEREO_airbus,airbus,3,1,2,1.3333,0.4,0.6,5,0.42005,19828.0
vehicles,veicoli,aereo,AEREO_f-16,f-16,1,3,3,3.0,0.0,0.2,5,0.02005,4084.0
vehicles,veicoli,aereo,AEREO_spitfire,spitfire,1,4,4,4.0,0.0,0.2,5,0.02005,4313.0
vehicles,veicoli,aereo,AEREO_harrier,harrier,1,5,5,5.0,0.0,0.2,5,0.02005,2374.0
vehicles,veicoli,aereo,AEREO_l-1011,l-1011,1,6,6,6.0,0.0,0.2,5,0.02005,107.0
vehicles,veicoli,aereo,AEREO_concorde,concorde,1,7,7,7.0,0.0,0.2,5,0.02005,19083.0
vehicles,veicoli,aereo,AEREO_f-35,f-35,1,8,8,8.0,0.0,0.2,5,0.02005,9364.0
vehicles,veicoli,aereo,AEREO_b-2,b-2,1,9,9,9.0,0.0,0.2,5,0.02005,1346.0
vehicles,veicoli,aereo,AEREO_alitalia,alitalia,1,3,3,3.0,0.0,0.2,5,0.02005,39187.0
vehicles,veicoli,aereo,AEREO_aereo da carriera,da carriera,1,4,4,4.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aliscafo,aliscafo,1,7,7,7.0,0.0,0.2,5,0.02005,13389.0
vehicles,veicoli,aereo,AEREO_eliocarro,eliocarro,1,9,9,9.0,0.0,0.2,5,0.02005,1.0
vehicles,veicoli,aereo,AEREO_aeromobile,aeromobile,2,3,10,6.5,0.0,0.4,5,0.14002,17120.0
