participant,category,category_it,concept,exemplar,clean_exemplar,rank
nemo-iter1,plants,piante,abete,abete rosso,rosso,1
nemo-iter1,plants,piante,abete,abete bianco,bianco,2
nemo-iter1,plants,piante,abete,abete argentato,argentato,3
nemo-iter1,plants,piante,abete,abete dei boschi,dei boschi,4
nemo-iter1,plants,piante,abete,abete di nordmann,di nordmann,5
nemo-iter1,plants,piante,abete,abete di oregón,di oregón,6
nemo-iter1,plants,piante,abete,abete di sitka,di sitka,7
nemo-iter1,plants,piante,abete,abete di vancouver,di vancouver,8
nemo-iter1,plants,piante,abete,abete di weymouth,di weymouth,9
nemo-iter1,plants,piante,abete,abete di douglas,di douglas,10
nemo-iter1,plants,piante,abete,abete di engelmann,di engelmann,11
nemo-iter1,plants,piante,abete,abete di grandi monti,di grandi monti,12
nemo-iter1,plants,piante,abete,abete di jeffrey,di jeffrey,13
nemo-iter1,plants,piante,abete,abete di menzies,di menzies,14
nemo-iter1,plants,piante,abete,abete di noble,di noble,15
nemo-iter1,plants,piante,abete,abete di ponderosa,di ponderosa,16
nemo-iter1,plants,piante,abete,abete di virginia,di virginia,17
nemo-iter1,plants,piante,abete,abete di wright,di wright,18
nemo-iter1,vehicles,veicoli,aereo,aereo di linea,di linea,1
nemo-iter1,vehicles,veicoli,aereo,aereo da guerra,da guerra,2
nemo-iter1,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,3
nemo-iter1,vehicles,veicoli,aereo,aereo da caccia,da caccia,4
nemo-iter1,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,5
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo,da turismo,6
nemo-iter1,vehicles,veicoli,aereo,elicottero,elicottero,7
nemo-iter1,vehicles,veicoli,aereo,drone,drone,8
nemo-iter1,vehicles,veicoli,aereo,aereo da cargo,da cargo,9
nemo-iter1,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,10
nemo-iter1,vehicles,veicoli,aereo,aereo da soccorso,da soccorso,11
nemo-iter1,vehicles,veicoli,aereo,aereo da pattugliamento,da pattugliamento,12
nemo-iter1,vehicles,veicoli,aereo,aereo da ricognizione aerea,da ricognizione aerea,13
nemo-iter1,vehicles,veicoli,aereo,aereo da trasporto militare,da trasporto militare,14
nemo-iter1,vehicles,veicoli,aereo,aereo da trasporto civile,da trasporto civile,15
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo leggero,da turismo leggero,16
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo sportivo,da turismo sportivo,17
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo multomotore,da turismo multomotore,18
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo monomotore,da turismo monomotore,19
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo a elica,da turismo a elica,20
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo a reazione,da turismo a reazione,21
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo a getto,da turismo a getto,22
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo a pistone,da turismo a pistone,23
nemo-iter1,vehicles,veicoli,aereo,a,a,24
nemo-iter1,stationery,cancelleria,agenda,agenda cartacea,cartacea,1
nemo-iter1,stationery,cancelleria,agenda,agenda elettronica,elettronica,2
nemo-iter1,stationery,cancelleria,agenda,agenda online,online,3
nemo-iter1,stationery,cancelleria,agenda,agenda a spirale,a spirale,4
nemo-iter1,stationery,cancelleria,agenda,agenda a quaderni,a quaderni,5
nemo-iter1,stationery,cancelleria,agenda,agenda a fogli mobili,a fogli mobili,6
nemo-iter1,stationery,cancelleria,agenda,agenda a sezioni,a sezioni,7
nemo-iter1,stationery,cancelleria,agenda,agenda a giorno,a giorno,8
nemo-iter1,stationery,cancelleria,agenda,agenda settimanale,settimanale,9
nemo-iter1,stationery,cancelleria,agenda,agenda mensile,mensile,10
nemo-iter1,stationery,cancelleria,agenda,agenda annuale,annuale,11
nemo-iter1,stationery,cancelleria,agenda,agenda professionale,professionale,12
nemo-iter1,stationery,cancelleria,agenda,agenda personale,personale,13
