participant,category,category_it,concept,exemplar,clean_exemplar,rank
llama3.2-iter1,plants,piante,abete,abete di legno,di legno,1
llama3.2-iter1,plants,piante,abete,abete del costa rica,del costa rica,2
llama3.2-iter1,plants,piante,abete,abete orientale,orientale,3
llama3.2-iter1,plants,piante,abete,abete rosso,rosso,4
llama3.2-iter2,plants,piante,abete,abete di legno,di legno,1
llama3.2-iter2,plants,piante,abete,abete in cera,in cera,2
llama3.2-iter2,plants,piante,abete,abete verde,verde,3
llama3.2-iter3,plants,piante,abete,sacco,sacco,1
llama3.2-iter3,plants,piante,abete,bastone,bastone,2
llama3.2-iter3,plants,piante,abete,fasce,fasce,3
llama3.2-iter3,plants,piante,abete,colla,colla,4
llama3.2-iter4,plants,piante,abete,abete della cappadocia,della cappadocia,1
llama3.2-iter4,plants,piante,abete,abete del caucaso,del caucaso,2
llama3.2-iter4,plants,piante,abete,abete della crimea,della crimea,3
llama3.2-iter4,plants,piante,abete,abete europeo,europeo,4
llama3.2-iter5,plants,piante,abete,abete da scrivania,da scrivania,1
llama3.2-iter5,plants,piante,abete,abete da disegno,da disegno,2
llama3.2-iter5,plants,piante,abete,abete da lettura,da lettura,3
llama3.2-iter5,plants,piante,abete,abete da lavoro,da lavoro,4
llama3.2-iter1,vehicles,veicoli,aereo,aereo civile,civile,1
llama3.2-iter1,vehicles,veicoli,aereo,aereo militare,militare,2
llama3.2-iter1,vehicles,veicoli,aereo,draghetto,draghetto,3
llama3.2-iter1,vehicles,veicoli,aereo,elicottero,elicottero,4
llama3.2-iter1,vehicles,veicoli,aereo,helicoptrico,helicoptrico,5
llama3.2-iter1,vehicles,veicoli,aereo,glider,glider,6
llama3.2-iter2,vehicles,veicoli,aereo,aereo da passeggeri,da passeggeri,1
llama3.2-iter2,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2
llama3.2-iter2,vehicles,veicoli,aereo,aereo da caccia,da caccia,3
llama3.2-iter2,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,4
llama3.2-iter2,vehicles,veicoli,aereo,aereo da pattugliamento,da pattugliamento,5
llama3.2-iter2,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,6
llama3.2-iter2,vehicles,veicoli,aereo,aereo di trasporto veloce,di trasporto veloce,7
llama3.2-iter3,vehicles,veicoli,aereo,aereo da passeggeri,da passeggeri,1
llama3.2-iter3,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2
llama3.2-iter3,vehicles,veicoli,aereo,aereo militare,militare,3
llama3.2-iter3,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,4
llama3.2-iter4,vehicles,veicoli,aereo,aereo da passeggeri,da passeggeri,1
llama3.2-iter4,vehicles,veicoli,aereo,aereo da trasporto di merci,da trasporto di merci,2
llama3.2-iter4,vehicles,veicoli,aereo,draghetto,draghetto,3
llama3.2-iter4,vehicles,veicoli,aereo,glorio,glorio,4
llama3.2-iter4,vehicles,veicoli,aereo,palla aeree,palla aeree,5
llama3.2-iter4,vehicles,veicoli,aereo,aereo modello da scale,modello da scale,6
llama3.2-iter4,vehicles,veicoli,aereo,aereo leggero,leggero,7
llama3.2-iter5,vehicles,veicoli,aereo,caccialeggeri,caccialeggeri,1
llama3.2-iter5,vehicles,veicoli,aereo,bombardiere,bombardiere,2
llama3.2-iter5,vehicles,veicoli,aereo,trasporti commerciali,trasporti commerciali,3
llama3.2-iter5,vehicles,veicoli,aereo,caccia,caccia,4
llama3.2-iter5,vehicles,veicoli,aereo,velivoli di supporto,velivoli di supporto,5
llama3.2-iter5,vehicles,veicoli,aereo,aereo medico,medico,6
